Date,ADANIENT.NS,BAJFINANCE.NS,BHARTIARTL.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,^NSEI
2020-01-01,205.82708740234375,4160.8388671875,436.93896484375,124.97035217285156,504.69775390625,2115.296142578125,723.6759033203125,483.9073181152344,1227.4287109375,2092.0205078125,7020.5068359375,91.99998474121094,89.99209594726562,80.38075256347656,19913.1171875,410.05718994140625,183.3112335205078,1128.0443115234375,3967.75732421875,116.95294189453125,12182.5
2020-01-02,209.1444854736328,4175.34228515625,438.7703857421875,124.46916198730469,502.1561584472656,2069.78662109375,746.9212036132812,485.26092529296875,1235.25244140625,2089.35400390625,7037.9345703125,91.8864517211914,90.4157485961914,80.2162857055664,20807.10546875,410.6709289550781,192.55381774902344,1128.874755859375,4143.255859375,117.2362289428711,12282.2001953125
2020-01-03,206.27272033691406,4123.619140625,438.67401123046875,124.91141510009766,505.486572265625,2030.3472900390625,737.4671630859375,494.99072265625,1217.636962890625,2091.848388671875,6965.34521484375,90.33480834960938,90.69818115234375,79.35286712646484,20699.404296875,419.78228759765625,189.92018127441406,1113.34228515625,4118.2685546875,118.55825805664062,12226.650390625
2020-01-06,197.6078643798828,3930.1455078125,433.4206848144531,121.28521728515625,504.6013488769531,1998.841796875,718.3153076171875,492.41021728515625,1191.2852783203125,2036.6358642578125,6761.9326171875,89.99422454833984,89.144775390625,79.39398193359375,20642.7109375,415.391845703125,184.50381469726562,1131.8052978515625,4057.654541015625,119.05402374267578,11993.0498046875
2020-01-07,202.06407165527344,3940.912841796875,429.0348815917969,121.28521728515625,505.5391540527344,1993.4134521484375,723.4810180664062,494.3138427734375,1210.14892578125,2019.349365234375,6791.8896484375,91.24308776855469,88.7917251586914,78.818359375,21523.47265625,421.48175048828125,183.55967712402344,1133.1241455078125,4140.62060546875,120.49410247802734,12052.9501953125
2020-01-08,199.5388641357422,3982.5087890625,442.28863525390625,118.04228210449219,507.82647705078125,1906.0643310546875,723.8220825195312,495.5829772949219,1206.9810791015625,1993.1190185546875,6755.0185546875,90.78893280029297,87.16769409179688,78.34554290771484,21992.048828125,415.5334167480469,181.42295837402344,1116.859130859375,4215.63232421875,120.30523681640625,12025.349609375
2020-01-09,205.9756317138672,4055.522216796875,443.4935302734375,116.74512481689453,511.90167236328125,1947.9088134765625,738.1006469726562,490.97186279296875,1220.5167236328125,2024.9395751953125,6940.0439453125,90.33480834960938,87.34420776367188,79.33230590820312,22357.830078125,415.2973937988281,190.8146209716797,1136.5430908203125,4283.0302734375,119.76226043701172,12215.900390625
2020-01-10,207.06492614746094,4075.828369140625,440.5054016113281,121.04938507080078,514.0927124023438,1957.8597412109375,737.0772705078125,491.0141296386719,1231.364501953125,2032.5933837890625,7038.55859375,91.05387878417969,87.66195678710938,79.00337982177734,22878.05078125,418.83807373046875,195.13775634765625,1127.360595703125,4338.27734375,118.86515808105469,12256.7998046875
2020-01-13,211.52114868164062,4095.15087890625,451.9758605957031,124.7344970703125,517.896240234375,1943.2232666015625,740.34228515625,496.217529296875,1234.532470703125,2035.4315185546875,7059.87451171875,92.1513442993164,88.57988739013672,80.09294128417969,23352.162109375,419.78228759765625,195.0383758544922,1132.147216796875,4361.80029296875,120.30523681640625,12329.5498046875
2020-01-14,212.26382446289062,4123.17626953125,452.40966796875,125.55998992919922,516.6868286132812,1963.316650390625,740.634765625,502.8168029785156,1237.8924560546875,2073.830810546875,7092.61572265625,93.47591400146484,88.29744720458984,80.2779541015625,23088.353515625,421.1041259765625,194.64083862304688,1140.1087646484375,4376.05126953125,121.43842315673828,12362.2998046875
2020-01-15,214.49191284179688,4137.18896484375,450.96380615234375,125.26519775390625,511.5774230957031,1976.2618408203125,746.969970703125,504.0436706542969,1232.8524169921875,2129.64599609375,7184.9375,93.74081420898438,88.01499938964844,79.86680603027344,23253.529296875,423.9838562011719,199.11306762695312,1157.4483642578125,4398.69580078125,117.21261596679688,12343.2998046875
2020-01-16,217.85882568359375,4149.97216796875,456.7954406738281,123.96797943115234,514.8726806640625,2063.5966796875,736.88232421875,501.9284973144531,1236.116455078125,2093.697265625,7165.44482421875,91.92427825927734,87.90909576416016,80.77135467529297,22824.587890625,423.9838562011719,196.33035278320312,1165.3118896484375,4365.36328125,118.2513656616211,12355.5
2020-01-17,226.17706298828125,4161.28173828125,482.0016174316406,122.58235931396484,531.857177734375,2040.2117919921875,748.7730712890625,506.6242370605469,1226.99658203125,2110.467529296875,7220.65478515625,91.73506927490234,88.54459381103516,81.1619644165039,22858.9375,429.2240295410156,196.08189392089844,1161.258056640625,4379.41845703125,118.55825805664062,12352.349609375
2020-01-20,224.34507751464844,4083.44921875,490.3393859863281,118.60245513916016,536.282958984375,2047.1973876953125,753.2077026367188,498.54425048828125,1204.677001953125,2077.443359375,7152.91552734375,89.50222778320312,86.77933502197266,84.14281463623047,22669.99609375,424.361572265625,193.7960968017578,1160.3787841796875,4360.77490234375,117.0945816040039,12224.5498046875
