Date,ASIANPAINT.BO,BAJAJ-AUTO.BO,BAJAJFINSV.BO,BPCL.BO,BRITANNIA.BO,CIPLA.BO,DIVISLAB.BO,DLF.BO,GAIL.BO,HDFCLIFE.BO,HINDALCO.BO,INDUSINDBK.BO,IOC.BO,JSWSTEEL.BO,M&M.BO,PIDILITIND.BO,SBILIFE.BO,TATACONSUM.BO,TECHM.BO,UPL.BO,^BSESN
2020-01-02,1721.001953125,2652.500244140625,938.4575805664062,116.73509216308594,2721.302978515625,456.3695373535156,1765.4530029296875,226.7651824951172,57.98192596435547,626.015625,212.97291564941406,1476.514892578125,52.08644104003906,259.7412109375,521.87353515625,1368.8756103515625,961.3189086914062,314.53802490234375,640.3904418945312,572.3338012695312,41626.640625
2020-01-03,1683.89501953125,2611.76123046875,922.5479125976562,115.4658203125,2708.023193359375,453.0457763671875,1776.624755859375,221.72056579589844,59.0386962890625,623.5465087890625,209.249267578125,1477.1910400390625,52.06593322753906,255.8896942138672,514.8656616210938,1367.750244140625,965.9775390625,309.5793151855469,647.956298828125,567.5772094726562,41464.609375
2020-01-06,1641.452880859375,2582.84423828125,893.47802734375,112.316650390625,2690.688232421875,449.673828125,1778.22021484375,214.29916381835938,58.49858093261719,611.5961303710938,202.38230895996094,1418.6209716796875,51.28669738769531,248.09278869628906,506.6978454589844,1358.50244140625,974.749755859375,303.4052429199219,643.7763671875,561.9556274414062,40676.62890625
2020-01-07,1657.2186279296875,2583.354736328125,897.6838989257812,110.38883972167969,2706.152099609375,451.6006774902344,1783.00830078125,218.81021118164062,58.42811965942383,621.96630859375,201.8987274169922,1411.4747314453125,51.122642517089844,249.12608337402344,509.0660095214844,1369.4630126953125,975.59228515625,306.0790710449219,650.004638671875,571.468994140625,40869.46875
2020-01-08,1663.899658203125,2603.043701171875,902.8076782226562,110.14935302734375,2695.3671875,447.5543212890625,1774.3514404296875,220.70193481445312,58.16980743408203,620.78125,200.49630737304688,1408.770751953125,49.974273681640625,246.40185546875,507.08447265625,1373.6707763671875,980.9447631835938,307.68341064453125,643.4837036132812,577.33056640625,40817.73828125
2020-01-09,1704.419189453125,2626.134521484375,927.6767578125,112.62797546386719,2675.3583984375,452.8049621582031,1782.572998046875,231.32473754882812,58.0523796081543,623.5465087890625,203.68800354003906,1455.65576171875,51.040611267089844,261.2442321777344,522.9851684570312,1383.9461669921875,979.4083862304688,319.3995666503906,646.367919921875,580.597900390625,41452.3515625
2020-01-10,1721.77099609375,2639.14697265625,925.29248046875,112.61602783203125,2664.39599609375,455.83966064453125,1805.2064208984375,236.85440063476562,58.89780807495117,615.2997436523438,204.36500549316406,1439.4801025390625,51.430233001708984,261.1502685546875,528.2048950195312,1384.288818359375,978.9127807617188,331.8449401855469,649.0013427734375,577.0904541015625,41599.71875
2020-01-13,1735.421630859375,2629.154052734375,933.7532348632812,112.67586517333984,2712.657958984375,459.9823913574219,1817.4420166015625,245.29444885253906,60.54167556762695,617.5712890625,204.1715850830078,1487.62060546875,52.06593322753906,261.7608947753906,536.4693603515625,1395.44482421875,980.3995971679688,343.12359619140625,656.9854125976562,568.7302856445312,41859.69140625
2020-01-14,1748.2073974609375,2637.871826171875,943.527099609375,113.32246398925781,2767.203125,466.6780700683594,1812.460693359375,246.9436492919922,61.058319091796875,606.5097045898438,204.89697265625,1430.3060302734375,52.04542922973633,263.9214782714844,543.718994140625,1396.619140625,978.8631591796875,378.6124267578125,665.63818359375,560.4181518554688,41952.62890625
2020-01-15,1770.5098876953125,2655.391845703125,946.2667846679688,112.02926635742188,2773.75390625,466.0036926269531,1805.2064208984375,248.20480346679688,61.833290100097656,608.8800659179688,206.68624877929688,1352.566650390625,51.53276824951172,265.3305969238281,550.6303100585938,1402.735595703125,989.6673583984375,380.3625793457031,664.4677734375,562.4360961914062,41872.73046875
2020-01-16,1763.972900390625,2649.480712890625,947.2836303710938,110.54448699951172,2807.04296875,462.3908996582031,1836.980224609375,250.72711181640625,60.49470901489258,599.6951293945312,202.7208251953125,1339.143310546875,50.938087463378906,260.5396728515625,548.4553833007812,1421.3291015625,991.2532348632812,373.4592590332031,654.4773559570312,565.0307006835938,41932.55859375
2020-01-17,1760.3680419921875,2650.586181640625,958.2570190429688,108.72444152832031,2787.122802734375,462.679931640625,1841.091064453125,253.34645080566406,59.343997955322266,600.090087890625,203.10769653320312,1306.1646728515625,50.3023796081543,256.6882019042969,550.0020141601562,1417.80615234375,987.6849365234375,369.7644958496094,650.6734008789062,565.943603515625,41945.37109375
2020-01-20,1777.094970703125,2640.29541015625,945.5953979492188,109.49077606201172,2772.105224609375,462.5835876464844,1831.9508056640625,251.35768127441406,60.04851150512695,590.8063354492188,200.44793701171875,1286.3675537109375,48.190216064453125,254.76239013671875,548.1654052734375,1409.2921142578125,972.172607421875,372.2925109863281,650.7152099609375,561.763427734375,41528.91015625
2020-01-21,1740.228271484375,2633.40625,940.8269653320312,111.07133483886719,2775.403076171875,455.9360046386719,1808.83349609375,249.36892700195312,59.5318717956543,594.3618774414062,198.5135955810547,1290.9547119140625,47.10337448120117,251.09881591796875,534.8744506835938,1384.63134765625,964.4906616210938,375.1121520996094,651.1332397460938,555.0850219726562,41323.80859375
2020-01-22,1709.5140380859375,2617.246826171875,942.68798828125,109.04773712158203,2768.406494140625,454.4908447265625,1793.5994873046875,250.48460388183594,59.10914993286133,605.1764526367188,196.67593383789062,1282.0701904296875,46.69324493408203,249.68971252441406,535.5028076171875,1397.597900390625,973.7089233398438,374.13983154296875,650.5062255859375,541.1033325195312,41115.37890625
